,PageRank,Airport_name,Airport_info
2182,[2.63249986],MFM,"Macau Intl, Macau"
1013,[2.62402055],NTE,"Nantes Atlantique, France"
2975,[2.62075181],SYX,"Phoenix International, China"
2352,[2.61949555],KWL,"Liangjiang, China"
1999,[2.6083245],AUA,"Reina Beatrix Intl, Aruba"
2546,[2.60641654],PIT,"Pittsburgh Intl, United States"
2043,[2.59768608],IEV,"Zhuliany Intl, Ukraine"
2363,[2.59648256],KHN,"Changbei Intl, China"
2207,[2.59604881],MLE,"Male Intl, Maldives"
407,[2.58543889],LBA,"Leeds Bradford, United Kingdom"
340,[2.57371133],TLL,"Tallinn, Estonia"
2507,[2.55672921],ADQ,"Kodiak, United States"
3266,[2.54731871],AAQ,"Vityazevo, Russia"
756,[2.54700022],FUE,"Fuerteventura, Spain"
701,[2.53309948],MPM,"Maputo, Mozambique"
2312,[2.52863659],ISA,"Mount Isa, Australia"
3088,[2.52801908],IFN,"Esfahan Shahid Beheshti Intl, Iran"
2053,[2.51724796],MSQ,"Minsk 2, Belarus"
1084,[2.512959],OLB,"Olbia Costa Smeralda, Italy"
1113,[2.50737115],NAP,"Capodichino, Italy"
2181,[2.48962808],VTE,"Wattay Intl, Laos"
2034,[2.48210624],VVO,"Knevichi, Russia"
3274,[2.47949632],ARH,"Talagi, Russia"
2561,[2.47464528],IND,"Indianapolis Intl, United States"
2309,[2.47276938],OOL,"Gold Coast, Australia"
2731,[2.45470497],CMH,"Port Columbus Intl, United States"
3924,[2.44686484],MUA,"Munda Airport, Solomon Islands"
2866,[2.43488119],BTH,"Hang Nadim, Indonesia"
775,[2.41085828],RAK,"Menara, Morocco"
478,[2.40702397],LUX,"Luxembourg, Luxembourg"
2764,[2.4045378],RSW,"Southwest Florida Intl, United States"
2478,[2.40014264],DAL,"Dallas Love Fld, United States"
1568,[2.39464931],GUM,"Guam Intl, Guam"
849,[2.3928734],KGL,"Kigali Intl, Rwanda"
2736,[2.39173397],GAL,"Edward G Pitka Sr, United States"
384,[2.38867381],LPL,"Liverpool, United Kingdom"
1083,[2.38590614],CAG,"Elmas, Italy"
892,[2.38525758],BIO,"Bilbao, Spain"
1805,[2.38471426],PVH,"Governador Jorge Teixeira De Oliveira, Brazil"
8,[2.37697133],SFJ,"Sondre Stromfjord, Greenland"
1980,[2.36857769],ANU,"V C Bird Intl, Antigua and Barbuda"
1227,[2.36476785],PLS,"Providenciales, Turks and Caicos Islands"
1495,[2.3641705],AWZ,"Ahwaz, Iran"
2269,[2.35868209],MUR,"Marudi, Malaysia"
2037,[2.35774318],IKT,"Irkutsk, Russia"
2491,[2.35501717],MYR,"Myrtle Beach Intl, United States"
719,[2.3526445],HRE,"Harare Intl, Zimbabwe"
2386,[2.3514849],HBE,"Borg El Arab Intl, Egypt"
2881,[2.34642115],SRI,"Temindung, Indonesia"
869,[2.33829664],EBB,"Entebbe Intl, Uganda"
1774,[2.33806277],GYN,"Santa Genoveva, Brazil"
923,[2.32460701],BOD,"Merignac, France"
3035,[2.32399354],STM,"Santarem, Brazil"
4278,[2.32218918],WNZ,"Wenzhou Yongqiang Airport, China"
2396,[2.31310371],FYU,"Fort Yukon, United States"
3829,[2.30817475],YKQ,"Waskaganish Airport, Canada"
2260,[2.29420904],AMQ,"Pattimura, Indonesia"
232,[2.2935988],COO,"Cadjehoun, Benin"
3694,[2.28479196],ERS,"Eros Airport, Namibia"
873,[2.2838264],BOJ,"Burgas, Bulgaria"
6,[2.27821522],UAK,"Narsarsuaq, Greenland"
1896,[2.26955474],MDE,"Jose Maria Cordova, Colombia"
2547,[2.25806975],BRW,"Wiley Post Will Rogers Mem, United States"
1916,[2.2529896],TDD,"Tte Av Jorge Henrich Arauz, Bolivia"
2592,[2.25073538],PIE,"St Petersburg Clearwater Intl, United States"
4575,[2.24924448],UNK,"Unalakleet Airport, United States"
2368,[2.24743901],HFE,"Luogang, China"
3900,[2.24565574],RAB,"Tokua Airport, Papua New Guinea"
1770,[2.24551535],FLN,"Hercilio Luz, Brazil"
1523,[2.24289252],AZI,"Bateen, United Arab Emirates"
3244,[2.24270208],IKA,"Imam Khomeini, Iran"
2255,[2.2403847],MDC,"Sam Ratulangi, Indonesia"
1077,[2.24007459],PMO,"Palermo, Italy"
392,[2.23491156],JER,"Jersey, Jersey"
447,[2.22652256],EIN,"Eindhoven, Netherlands"
555,[2.22481196],BMA,"Bromma, Sweden"
1301,[2.22364498],SJD,"Los Cabos Intl, Mexico"
1504,[2.22225878],BND,"Bandar Abbass Intl, Iran"
1091,[2.21783615],LIN,"Linate, Italy"
307,[2.21653601],HHN,"Frankfurt Hahn, Germany"
2838,[2.20938841],SNA,"John Wayne Arpt Orange Co, United States"
643,[2.20807927],RUN,"St Denis Gillot, Reunion"
1234,[2.2076065],SDQ,"Las Americas Intl, Dominican Republic"
3240,[2.20751996],HFT,"Hammerfest Airport, Norway"
2,[2.20639073],HGU,"Mount Hagen, Papua New Guinea"
2051,[2.20236063],KGD,"Khrabrovo, Russia"
576,[2.2002887],DUR,"Durban Intl, South Africa"
3134,[2.20006224],NRN,"Niederrhein, Germany"
1981,[2.19938003],BGI,"Grantley Adams Intl, Barbados"
3291,[2.19720945],CGQ,"Changchun, China"
3028,[2.19644475],INC,"Yinchuan, China"
416,[2.18915403],ABZ,"Dyce, United Kingdom"
2912,[2.1874479],VNO,"Vilnius Intl, Lithuania"
219,[2.18596997],ORN,"Es Senia, Algeria"
984,[2.18166421],BVA,"Tille, France"
2015,[2.16823471],FRU,"Manas, Kyrgyzstan"
1409,[2.16614591],RGI,"Rangiroa, French Polynesia"
511,[2.16321533],SVG,"Sola, Norway"
876,[2.16235614],SOF,"Sofia, Bulgaria"
233,[2.1591651],OUA,"Ouagadougou, Burkina Faso"
1882,[2.15890587],LET,"Alfredo Vasquez Cobo, Colombia"
1243,[2.15322989],TGU,"Toncontin Intl, Honduras"
